"CAT_sp","PAR_sp","localities_total"
"Unadophanes trissomita","MICR173",1
"Unadophanes trissomita","MICR187",2
"Unadophanes trissomita","MICR243",1
"Unadophanes trissomita","MICR263",1
"Unadophanes trissomita","ORGI029",1
"Unadophanes trissomita","ROGA012",1
"Unadophanes trissomita","TACH014",2
"Unadophanes trissomita","TACH078",1
"Unadophanes trissomita","TACH368",1
"Xenolepis neoguineana","AGAT013",1
"Xenothictis gnetivora","ICHN198",2
"Xenothictis gnetivora","ORGI013",1
"Xenothictis gnetivora","TACH391",1
