"comparison","n_par","n_cat","W","p_value","sig"
"Diet richness per site (Par-Cat vs Cat-Plant)",317,789,141897,1e-04,"***"
"Diet richness total  (Par-Cat vs Cat-Plant)",90,171,9671,6e-04,"***"
