"variant","comparison","W_statistic","p_value","significance"
"All species (no threshold)","H2' per locality (unpaired)",3,"0.003","**"
"≥5 reared specimens (parasitoids & caterpillars)","H2' per locality (unpaired)",6,"0.007","**"
