"variable","term","estimate","conf.low","conf.high"
"Minimum temperature (°C)","Latitude (standardised)",0.28,-0.082,0.641
"Minimum temperature (°C)","Longitude (standardised)",-0.018,-0.379,0.343
"Maximum temperature (°C)","Latitude (standardised)",0.279,-0.339,0.896
"Maximum temperature (°C)","Longitude (standardised)",0.139,-0.479,0.756
"Average temperature (°C)","Latitude (standardised)",0.279,-0.048,0.606
"Average temperature (°C)","Longitude (standardised)",0.06,-0.267,0.387
"Average precipitation (mm month⁻¹)","Latitude (standardised)",-57.204,-73.51,-40.898
"Average precipitation (mm month⁻¹)","Longitude (standardised)",-39.995,-56.301,-23.689
