"network","mean_hosts_per_site","sd_hosts_per_site","mean_hosts_total","sd_hosts_total"
"Parasitoid-Caterpillar",2.17,1.59,4.91,3.42
"Caterpillar-Plant",1.77,1.15,3.77,2.88
