"variable","effect","term","estimate","std.error","statistic","conf.low","conf.high"
"Minimum temperature (°C)","fixed","(Intercept)",21.3396701388886,0.154512619785982,138.109561331926,21.0368309689511,21.6425093088261
"Minimum temperature (°C)","fixed","lat_z",0.279548301169124,0.184338345026191,1.51649566523669,-0.081748216051929,0.640844818390178
"Minimum temperature (°C)","fixed","lon_z",-0.0179725941863233,0.18433834502619,-0.097497860164524,-0.379269111407374,0.343323923034728
"Maximum temperature (°C)","fixed","(Intercept)",30.6641493055553,0.264138969645627,116.090970395981,30.1464464381363,31.1818521729742
"Maximum temperature (°C)","fixed","lat_z",0.278507233522049,0.31512597863424,0.88379648903941,-0.339128335193999,0.896142802238098
"Maximum temperature (°C)","fixed","lon_z",0.138707819633086,0.315125978634234,0.440166247905836,-0.478927749082952,0.756343388349124
"Average temperature (°C)","fixed","(Intercept)",26.0019097222222,0.139898103653353,185.863203597464,25.7277144775562,26.2761049668882
"Average temperature (°C)","fixed","lat_z",0.27902776734569,0.166902774255474,1.67179825853937,-0.0480956591148572,0.606151193806238
"Average temperature (°C)","fixed","lon_z",0.0603676127235217,0.166902774255473,0.361693285164444,-0.266755813737025,0.387491039184068
"Average precipitation (mm month⁻¹)","fixed","(Intercept)",233.129571759269,6.9733842714699,33.4313387422329,219.46198973683,246.797153781708
"Average precipitation (mm month⁻¹)","fixed","lat_z",-57.2039813033262,8.31946359860415,-6.87592182180158,-73.5098303272823,-40.89813227937
"Average precipitation (mm month⁻¹)","fixed","lon_z",-39.995134994917,8.31946359860416,-4.807417512065,-56.3009840188731,-23.6892859709608
