# Fig. 3E source data: temporal beta diversity (Sorensen index, averaged
# across 100 patches) vs. time difference going backward from the end of
# the simulation, for the single example parameter combination host
# colonisation rate = 0.5, consumer colonisation rate = 0.5.
#
# PROVENANCE: simulation output supplied by A. North, generated by
# Mathematica code in https://github.com/AceRNorth/HostParasitoidModel.
#
# Columns:
#   time_difference : time difference going backward from t=100 (0-50)
#   host_temp_beta  : temporal Sorensen turnover for resources (hosts)
#   con_temp_beta   : temporal Sorensen turnover for consumers (parasitoids)
time_difference,host_temp_beta,con_temp_beta
0,0,0
1,0.161755057196775,0.228188806416161
2,0.249464309918916,0.396015916421626
3,0.31773930772043,0.514856405142313
4,0.362720405249542,0.605755946397118
5,0.389850571056667,0.68080178356885
6,0.40373140510653,0.737186819268277
7,0.416093224926532,0.766248725095234
8,0.421793578559973,0.789308633683673
9,0.424589187385259,0.809420220787125
10,0.42770612926477,0.830867916625084
11,0.432005044177375,0.838023892976022
12,0.431904903817742,0.848208906903787
13,0.429686002711236,0.858088546614771
14,0.434738748498704,0.861660039794454
15,0.440068079128364,0.865151278348933
16,0.444079488863909,0.876239352374468
17,0.440461184020581,0.898440690900627
18,0.442329831287317,0.897771842537263
19,0.450740428764981,0.91384464376225
20,0.446315303512252,0.915077181390363
21,0.447607489597068,0.921955704333716
22,0.445527166270131,0.929825419565541
23,0.446306485221626,0.916438115955037
24,0.448261500157079,0.921180887287219
25,0.445021168855863,0.93164032542272
26,0.440704310542106,0.928737091026272
27,0.442027925513184,0.930996763682183
28,0.444697155716091,0.938299132417677
29,0.447022990787735,0.926640844890537
30,0.44618952513963,0.92492873252068
31,0.452598364283116,0.927796719080417
32,0.448791440646276,0.950778627735413
33,0.450213588467906,0.942335622825496
34,0.45243013105695,0.942176353199241
35,0.448908474415758,0.93251916273184
36,0.442046380810847,0.938674257025556
37,0.445145574089198,0.940550754776915
38,0.448764623405699,0.952293094161183
39,0.451331923431238,0.946692186612837
40,0.445969424889563,0.940050406158199
41,0.442282621909471,0.944137565536618
42,0.441127324156861,0.934911568449933
43,0.435033724996642,0.932682296572608
44,0.435222156376531,0.933440667717903
45,0.442571102595772,0.928193225467105
46,0.444179110533204,0.927440384723297
47,0.447220772497261,0.926675388540416
48,0.449841913871541,0.937979909935031
49,0.452592016207098,0.94283116821608
50,0.450365201369366,0.944972227800859
