locality,date,value,year,month,variable
Ohu,1971-01-01,19.3,1971,1,tmin
Utai,1971-01-01,19.270000000000003,1971,1,tmin
Wamangu,1971-01-01,19.090000000000003,1971,1,tmin
Wanang,1971-01-01,19.03,1971,1,tmin
Yapsiei,1971-01-01,19.560000000000002,1971,1,tmin
Elem,1971-02-01,19.85,1971,2,tmin
Morox,1971-02-01,19.840000000000003,1971,2,tmin
Niksek,1971-02-01,20.090000000000003,1971,2,tmin
Ohu,1971-02-01,20.230000000000004,1971,2,tmin
Utai,1971-02-01,21.390000000000004,1971,2,tmin
Wamangu,1971-02-01,21.380000000000003,1971,2,tmin
Wanang,1971-02-01,21.180000000000003,1971,2,tmin
Yapsiei,1971-02-01,20.96,1971,2,tmin
Elem,1971-03-01,21.140000000000004,1971,3,tmin
Morox,1971-03-01,20.85,1971,3,tmin
Niksek,1971-03-01,20.69,1971,3,tmin
Ohu,1971-03-01,20.970000000000002,1971,3,tmin
Utai,1971-03-01,21.230000000000004,1971,3,tmin
Wamangu,1971-03-01,21.51,1971,3,tmin
Wanang,1971-03-01,21.570000000000004,1971,3,tmin
Yapsiei,1971-03-01,21.85,1971,3,tmin
Elem,1971-04-01,20.96,1971,4,tmin
Morox,1971-04-01,20.69,1971,4,tmin
Niksek,1971-04-01,20.42,1971,4,tmin
Ohu,1971-04-01,20.17,1971,4,tmin
Utai,1971-04-01,20.46,1971,4,tmin
Wamangu,1971-04-01,20.28,1971,4,tmin
Wanang,1971-04-01,20.19,1971,4,tmin
Yapsiei,1971-04-01,20.450000000000003,1971,4,tmin
Elem,1971-05-01,20.970000000000002,1971,5,tmin
Morox,1971-05-01,21.150000000000002,1971,5,tmin
Niksek,1971-05-01,21.140000000000004,1971,5,tmin
Ohu,1971-05-01,21.270000000000003,1971,5,tmin
Utai,1971-05-01,21.37,1971,5,tmin
Wamangu,1971-05-01,21.51,1971,5,tmin
Wanang,1971-05-01,21.400000000000002,1971,5,tmin
Yapsiei,1971-05-01,21.160000000000004,1971,5,tmin
Elem,1971-06-01,20.800000000000004,1971,6,tmin
Morox,1971-06-01,20.78,1971,6,tmin
Niksek,1971-06-01,20.46,1971,6,tmin
Ohu,1971-06-01,20.650000000000002,1971,6,tmin
Utai,1971-06-01,21.21,1971,6,tmin
Wamangu,1971-06-01,21.320000000000004,1971,6,tmin
Wanang,1971-06-01,21.750000000000004,1971,6,tmin
